Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating
EMP1052,40,Male,Sales,Manufacturing,31,Onsite,46,5,2
EMP1053,29,Male,Project Manager,IT,4,Remote,41,12,3
EMP1054,24,Female,Data Scientist,IT,19,Hybrid,29,6,2
EMP1055,42,Non-binary,Sales,IT,18,Remote,31,1,4
EMP1056,34,Female,Data Scientist,Healthcare,7,Remote,25,4,1
EMP1057,40,Non-binary,Sales,Consulting,10,Remote,60,13,1
EMP1058,27,Non-binary,Software Engineer,Retail,12,Remote,28,10,4
EMP1059,33,Female,HR,Finance,21,Remote,34,14,4
EMP1060,24,Male,Software Engineer,Retail,14,Onsite,35,13,5
EMP1061,36,Non-binary,HR,Manufacturing,24,Onsite,20,8,2
EMP1062,45,Female,Designer,IT,28,Onsite,26,7,3
EMP1063,23,Non-binary,Project Manager,IT,35,Hybrid,45,11,1
EMP1064,59,Prefer not to say,Designer,IT,34,Onsite,60,2,3
EMP1065,54,Male,Data Scientist,Finance,10,Remote,41,0,5
EMP1066,38,Prefer not to say,Data Scientist,Consulting,16,Onsite,42,2,5
EMP1067,52,Male,Project Manager,Education,10,Hybrid,41,0,1
EMP1068,47,Male,Marketing,Manufacturing,3,Onsite,23,2,1
EMP1069,44,Female,Sales,Consulting,31,Onsite,34,13,5
EMP1070,56,Female,Software Engineer,Finance,5,Remote,53,6,4
EMP1071,27,Non-binary,Marketing,Finance,20,Hybrid,33,2,5
EMP1072,48,Male,Marketing,Education,3,Remote,50,6,1
EMP1073,23,Prefer not to say,Software Engineer,Finance,11,Hybrid,41,15,2
EMP1074,50,Non-binary,Software Engineer,Healthcare,5,Remote,48,2,3
EMP1075,50,Non-binary,Marketing,Manufacturing,18,Hybrid,58,6,1
EMP1076,56,Non-binary,Designer,Consulting,35,Onsite,33,5,3
EMP1077,28,Male,Project Manager,Education,10,Onsite,49,15,3
EMP1078,51,Non-binary,Designer,Consulting,24,Hybrid,60,15,2
EMP1079,41,Female,Software Engineer,Education,30,Hybrid,40,15,4
EMP1080,23,Female,HR,IT,13,Onsite,60,8,1
EMP1081,23,Non-binary,Project Manager,Manufacturing,27,Hybrid,48,5,2
EMP1082,60,Female,Designer,Manufacturing,35,Remote,50,4,1
EMP1083,26,Male,Sales,Consulting,29,Remote,33,1,2
EMP1084,25,Male,Data Scientist,Healthcare,32,Onsite,45,15,3
EMP1085,33,Male,Marketing,Consulting,25,Hybrid,56,5,4
EMP1086,45,Male,Sales,Retail,4,Remote,31,0,2
EMP1087,25,Male,Project Manager,IT,10,Onsite,43,12,4
EMP1088,24,Female,Data Scientist,Manufacturing,24,Remote,40,9,1
EMP1089,52,Prefer not to say,Project Manager,IT,1,Onsite,34,13,4
EMP1090,30,Non-binary,Marketing,Retail,27,Remote,40,4,1
EMP1091,44,Female,Designer,IT,8,Remote,33,2,4
EMP1092,40,Prefer not to say,HR,Finance,33,Onsite,20,13,4
EMP1093,31,Prefer not to say,Marketing,Education,2,Remote,34,4,3
EMP1094,23,Non-binary,HR,Education,35,Onsite,25,14,4
EMP1095,49,Prefer not to say,Data Scientist,Education,25,Remote,35,11,1
EMP1096,23,Female,HR,Healthcare,8,Hybrid,45,6,3
EMP1097,58,Male,Software Engineer,Finance,20,Onsite,28,15,1
EMP1098,60,Prefer not to say,Designer,Consulting,20,Hybrid,58,12,3
EMP1099,54,Non-binary,HR,Manufacturing,27,Onsite,23,13,2
EMP1100,27,Female,HR,Manufacturing,16,Remote,57,15,3
EMP1101,60,Prefer not to say,Marketing,Retail,11,Remote,28,14,5
EMP1102,51,Female,Software Engineer,Manufacturing,4,Hybrid,50,1,2
EMP1103,24,Female,Designer,Retail,4,Hybrid,46,5,4
EMP1104,27,Female,Software Engineer,Education,19,Hybrid,60,7,3
EMP1105,30,Non-binary,Designer,Retail,20,Hybrid,25,3,5
EMP1106,53,Male,Sales,Healthcare,16,Remote,45,13,3
EMP1107,47,Male,Data Scientist,Education,19,Remote,50,2,4
EMP1108,31,Male,Designer,Manufacturing,24,Onsite,25,3,3
EMP1109,35,Male,HR,Manufacturing,4,Hybrid,49,15,4
EMP1110,26,Non-binary,Software Engineer,Education,33,Hybrid,23,4,3
EMP1111,43,Female,Data Scientist,Finance,10,Onsite,26,11,1
EMP1112,46,Prefer not to say,Project Manager,Consulting,35,Remote,46,1,4
EMP1113,32,Non-binary,Data Scientist,IT,13,Remote,42,5,1
EMP1114,58,Female,Designer,Healthcare,18,Remote,46,15,3
EMP1115,35,Male,Designer,Finance,19,Onsite,29,10,5
EMP1116,48,Male,Data Scientist,IT,18,Onsite,43,5,2
EMP1117,42,Non-binary,Data Scientist,Education,19,Onsite,33,7,4
EMP1118,36,Non-binary,Sales,Healthcare,21,Remote,24,14,1
EMP1119,60,Male,Project Manager,Education,33,Remote,30,8,2
EMP1120,24,Male,Sales,Healthcare,21,Onsite,29,1,5
EMP1121,35,Male,Data Scientist,Finance,20,Hybrid,23,2,5
EMP1122,57,Female,Designer,Consulting,12,Onsite,43,9,5
EMP1123,54,Male,Marketing,Consulting,22,Hybrid,28,4,5
EMP1124,52,Male,Sales,Retail,20,Hybrid,22,11,3
EMP1125,51,Female,Project Manager,Education,28,Onsite,58,10,4
EMP1126,33,Male,Marketing,Consulting,21,Hybrid,39,10,1
EMP1127,53,Non-binary,Data Scientist,Healthcare,11,Onsite,49,8,5
EMP1128,39,Non-binary,Sales,Education,26,Onsite,39,10,1
EMP1129,56,Non-binary,Designer,Healthcare,22,Hybrid,39,7,3
EMP1130,26,Prefer not to say,Data Scientist,Healthcare,30,Hybrid,36,1,5
EMP1131,52,Prefer not to say,Marketing,IT,28,Hybrid,22,9,4
EMP1132,47,Prefer not to say,Designer,Retail,13,Remote,53,8,3
EMP1133,59,Female,Designer,Retail,33,Remote,26,7,2
EMP1134,27,Non-binary,HR,Education,3,Onsite,24,15,5
EMP1135,23,Female,Data Scientist,Retail,17,Hybrid,47,12,4
EMP1136,22,Prefer not to say,Marketing,Consulting,24,Onsite,43,14,5
EMP1137,22,Non-binary,Sales,Education,7,Onsite,56,3,5
EMP1138,28,Female,Marketing,Finance,5,Onsite,52,0,4
EMP1139,36,Prefer not to say,Designer,Retail,22,Hybrid,35,10,5
EMP1140,52,Non-binary,Marketing,IT,1,Remote,36,11,5
EMP1141,57,Male,Project Manager,Healthcare,35,Remote,25,9,2
EMP1142,59,Prefer not to say,Marketing,IT,19,Hybrid,54,11,1
EMP1143,22,Prefer not to say,HR,Consulting,24,Onsite,52,6,3
EMP1144,49,Female,Sales,Retail,26,Remote,23,13,5
EMP1145,42,Prefer not to say,HR,Manufacturing,2,Onsite,57,15,4
EMP1146,35,Male,Designer,Retail,33,Hybrid,50,10,3
EMP1147,60,Non-binary,Sales,Retail,30,Hybrid,59,8,1
EMP1148,22,Non-binary,Designer,Finance,31,Remote,30,8,3
EMP1149,30,Male,Marketing,Consulting,25,Hybrid,20,4,3
EMP1150,57,Male,Software Engineer,Education,6,Remote,51,1,5
EMP1151,50,Male,Project Manager,Healthcare,10,Hybrid,58,12,3
EMP1152,26,Non-binary,HR,Healthcare,11,Onsite,36,14,1
EMP1153,49,Non-binary,Marketing,Consulting,7,Hybrid,33,4,5
EMP1154,48,Prefer not to say,Marketing,Consulting,24,Onsite,58,12,3
EMP1155,48,Prefer not to say,Data Scientist,Healthcare,6,Remote,27,7,2
EMP1156,58,Male,HR,IT,10,Remote,45,12,2
EMP1157,59,Female,Sales,Manufacturing,17,Hybrid,58,5,1
EMP1158,28,Non-binary,Marketing,Finance,7,Onsite,37,7,1
EMP1159,34,Prefer not to say,Data Scientist,Retail,18,Remote,59,1,2
EMP1160,42,Male,HR,IT,30,Onsite,35,3,3
EMP1161,34,Prefer not to say,Sales,Retail,13,Remote,31,1,1
EMP1162,56,Male,Designer,Retail,7,Onsite,44,2,3
EMP1163,28,Male,Software Engineer,Healthcare,15,Onsite,42,7,2
EMP1164,53,Prefer not to say,HR,Consulting,3,Onsite,27,1,1
EMP1165,60,Non-binary,Designer,Healthcare,28,Hybrid,39,7,1
EMP1166,31,Male,Software Engineer,Healthcare,3,Remote,45,5,1
EMP1167,22,Male,Project Manager,Retail,20,Onsite,59,7,3
EMP1168,31,Non-binary,Marketing,Manufacturing,27,Remote,42,15,2
EMP1169,40,Female,HR,Retail,11,Hybrid,55,5,2
EMP1170,54,Prefer not to say,Data Scientist,IT,14,Onsite,41,15,5
EMP1171,35,Non-binary,Sales,Consulting,7,Onsite,37,9,3
EMP1172,48,Non-binary,Project Manager,Manufacturing,18,Remote,30,6,3
EMP1173,38,Female,HR,Education,28,Onsite,58,8,3
EMP1174,56,Non-binary,Designer,Finance,9,Hybrid,36,7,2
EMP1175,24,Non-binary,Designer,Healthcare,15,Remote,41,8,2
EMP1176,30,Non-binary,HR,Finance,31,Remote,29,5,1
EMP1177,28,Female,Software Engineer,Healthcare,25,Hybrid,31,11,4
EMP1178,27,Prefer not to say,Data Scientist,Retail,24,Remote,39,7,5
EMP1179,23,Non-binary,Sales,IT,35,Onsite,33,7,4
EMP1180,48,Female,Sales,Retail,21,Onsite,45,11,5
EMP1181,56,Non-binary,Marketing,Healthcare,23,Onsite,39,1,3
EMP1182,38,Prefer not to say,Marketing,Finance,22,Remote,40,14,1
EMP1183,57,Non-binary,HR,IT,10,Hybrid,49,0,5
EMP1184,23,Female,Project Manager,Finance,5,Hybrid,49,15,3
EMP1185,36,Non-binary,Sales,IT,21,Remote,53,15,1
EMP1186,52,Non-binary,HR,Education,35,Remote,23,5,5
EMP1187,30,Female,Software Engineer,Finance,25,Onsite,34,13,5
EMP1188,51,Prefer not to say,Software Engineer,IT,19,Remote,55,0,3
EMP1189,39,Female,Data Scientist,Finance,30,Remote,44,2,4
EMP1190,46,Prefer not to say,Sales,Finance,31,Onsite,54,8,1
EMP1191,44,Female,Data Scientist,Finance,33,Remote,29,9,5
EMP1192,22,Male,Designer,Consulting,33,Remote,32,2,1
EMP1193,38,Non-binary,Marketing,IT,18,Onsite,45,3,5
EMP1194,26,Non-binary,Software Engineer,Education,23,Hybrid,59,0,5
EMP1195,48,Female,Designer,Retail,20,Hybrid,35,8,3
EMP1196,49,Prefer not to say,Project Manager,Retail,13,Remote,36,2,5
EMP1197,32,Male,Software Engineer,Manufacturing,23,Hybrid,29,5,2
EMP1198,32,Prefer not to say,Project Manager,Healthcare,34,Onsite,43,15,2
EMP1199,57,Prefer not to say,Sales,Finance,4,Onsite,49,13,2
EMP1200,35,Non-binary,Data Scientist,Education,14,Onsite,52,11,4
EMP1201,53,Male,Project Manager,Consulting,21,Hybrid,54,15,1
EMP1202,41,Male,Project Manager,Finance,3,Hybrid,33,11,5
EMP1203,46,Male,Software Engineer,Retail,27,Remote,31,9,1
EMP1204,30,Non-binary,Project Manager,Education,33,Remote,45,10,2
EMP1205,51,Non-binary,Project Manager,Healthcare,17,Remote,52,4,4
EMP1206,48,Prefer not to say,Marketing,Consulting,26,Hybrid,41,7,3
EMP1207,56,Male,Marketing,Consulting,27,Hybrid,54,14,2
EMP1208,60,Female,Sales,Finance,9,Remote,38,8,5
EMP1209,24,Female,Designer,IT,5,Hybrid,23,5,2
EMP1210,50,Prefer not to say,Sales,IT,28,Hybrid,27,2,4
EMP1211,22,Female,HR,Education,24,Onsite,45,1,5
EMP1212,25,Prefer not to say,HR,Manufacturing,22,Hybrid,29,9,1
EMP1213,32,Prefer not to say,Sales,Finance,14,Hybrid,31,3,4
EMP1214,42,Female,Marketing,Manufacturing,25,Remote,45,12,5
EMP1215,39,Female,Project Manager,Education,9,Onsite,28,3,2
EMP1216,28,Male,Marketing,Manufacturing,28,Hybrid,32,2,1
EMP1217,50,Male,Project Manager,Education,11,Hybrid,56,0,3
EMP1218,45,Prefer not to say,Marketing,Finance,21,Remote,46,1,2
EMP1219,54,Female,Designer,Consulting,15,Hybrid,29,0,2
EMP1220,57,Male,Software Engineer,Education,21,Hybrid,51,0,1
EMP1221,33,Non-binary,Marketing,Retail,4,Remote,35,6,5
EMP1222,30,Female,Designer,Finance,17,Onsite,23,13,5
EMP1223,27,Female,Sales,Education,21,Onsite,50,12,2
EMP1224,25,Prefer not to say,Project Manager,Retail,29,Remote,58,14,1
EMP1225,49,Prefer not to say,Software Engineer,Manufacturing,1,Onsite,45,6,3
EMP1226,45,Female,Designer,Retail,13,Onsite,54,9,4
EMP1227,42,Male,Designer,IT,22,Hybrid,54,15,3
EMP1228,33,Female,Data Scientist,Manufacturing,26,Onsite,27,3,1
EMP1229,46,Male,HR,Healthcare,30,Onsite,60,2,5
EMP1230,43,Prefer not to say,Project Manager,Retail,29,Onsite,21,7,3
EMP1231,23,Male,HR,Healthcare,24,Onsite,60,15,3
EMP1232,48,Non-binary,Software Engineer,Finance,4,Onsite,50,11,1
EMP1233,30,Prefer not to say,Software Engineer,IT,10,Remote,41,0,1
EMP1234,46,Non-binary,Marketing,Healthcare,15,Hybrid,41,5,1
EMP1235,59,Prefer not to say,Data Scientist,Consulting,4,Hybrid,56,1,2
EMP1236,36,Prefer not to say,Sales,Consulting,22,Hybrid,23,4,2
EMP1237,51,Non-binary,Data Scientist,Manufacturing,34,Remote,32,7,4
EMP1238,26,Non-binary,Designer,Retail,24,Hybrid,22,13,3
EMP1239,41,Prefer not to say,Data Scientist,Finance,29,Remote,48,12,5
EMP1240,29,Non-binary,Designer,IT,1,Hybrid,22,7,5
EMP1241,53,Non-binary,Designer,Retail,4,Hybrid,22,12,1
EMP1242,30,Female,Data Scientist,Finance,2,Remote,60,8,5
EMP1243,48,Female,Data Scientist,Education,32,Hybrid,38,9,2
EMP1244,31,Non-binary,Data Scientist,Retail,27,Remote,34,9,1
EMP1245,44,Prefer not to say,Software Engineer,Manufacturing,9,Onsite,23,14,4
EMP1246,42,Female,Designer,IT,30,Onsite,52,3,5
EMP1247,42,Non-binary,Software Engineer,Education,10,Hybrid,24,14,2
EMP1248,52,Prefer not to say,Marketing,Finance,26,Onsite,38,10,4
EMP1249,49,Male,HR,Healthcare,24,Hybrid,46,2,5
EMP1250,28,Non-binary,HR,Retail,8,Hybrid,44,3,3
EMP1251,53,Female,Designer,Finance,33,Remote,31,7,2
EMP1252,49,Male,Marketing,Healthcare,26,Onsite,32,3,1
EMP1253,23,Non-binary,Software Engineer,Retail,23,Remote,31,2,4
EMP1254,23,Male,Project Manager,IT,7,Hybrid,20,10,3
EMP1255,46,Female,Software Engineer,Consulting,9,Hybrid,42,5,2
EMP1256,48,Prefer not to say,Marketing,Education,14,Hybrid,36,4,3
EMP1257,48,Female,Marketing,Finance,14,Hybrid,44,2,3
EMP1258,39,Female,Marketing,Finance,30,Hybrid,46,13,5
EMP1259,59,Non-binary,Designer,Manufacturing,34,Onsite,55,9,3
EMP1260,25,Prefer not to say,Software Engineer,Finance,28,Hybrid,40,4,1
EMP1261,24,Non-binary,Sales,Finance,34,Remote,40,13,5
EMP1262,28,Female,HR,Consulting,25,Remote,38,7,1
EMP1263,50,Male,HR,Manufacturing,29,Hybrid,57,12,2
EMP1264,54,Prefer not to say,Software Engineer,Retail,20,Hybrid,22,10,4
EMP1265,33,Male,Data Scientist,IT,11,Hybrid,45,8,4
EMP1266,30,Prefer not to say,Data Scientist,Finance,31,Remote,41,11,5
EMP1267,40,Prefer not to say,Data Scientist,Healthcare,23,Remote,49,11,2
EMP1268,27,Female,Sales,Consulting,29,Onsite,32,15,4
EMP1269,50,Non-binary,Sales,Finance,15,Onsite,25,9,1
EMP1270,23,Prefer not to say,Marketing,Finance,9,Hybrid,24,14,3
EMP1271,27,Male,Project Manager,Consulting,10,Remote,49,12,4
EMP1272,41,Male,Project Manager,Education,14,Hybrid,59,4,5
EMP1273,50,Prefer not to say,HR,IT,10,Onsite,39,8,2
EMP1274,32,Non-binary,Project Manager,Consulting,25,Remote,34,14,1
EMP1275,52,Female,Software Engineer,Healthcare,14,Remote,55,10,2
EMP1276,51,Prefer not to say,Designer,Retail,33,Remote,28,9,4
EMP1277,26,Male,Project Manager,Finance,13,Remote,39,0,3
EMP1278,59,Non-binary,Project Manager,Finance,34,Remote,43,6,1
EMP1279,52,Female,Sales,Education,7,Hybrid,57,6,1
EMP1280,55,Non-binary,Software Engineer,Healthcare,28,Onsite,32,1,1
EMP1281,36,Prefer not to say,Data Scientist,Finance,9,Remote,25,15,1
EMP1282,32,Prefer not to say,Marketing,Education,21,Remote,22,7,2
EMP1283,41,Prefer not to say,Software Engineer,Consulting,32,Onsite,59,15,2
EMP1284,29,Non-binary,Software Engineer,Education,21,Onsite,22,6,3
EMP1285,41,Male,Project Manager,Education,33,Remote,46,8,3
EMP1286,55,Female,Marketing,Finance,33,Remote,43,0,1
EMP1287,38,Female,Marketing,IT,2,Hybrid,48,6,4
EMP1288,59,Male,Project Manager,Healthcare,8,Onsite,39,15,4
EMP1289,32,Prefer not to say,Project Manager,Consulting,7,Remote,49,15,1
EMP1290,28,Prefer not to say,Marketing,Healthcare,16,Hybrid,38,11,4
EMP1291,25,Prefer not to say,Data Scientist,Healthcare,14,Hybrid,32,10,2
EMP1292,45,Prefer not to say,Designer,Retail,28,Hybrid,47,7,4
EMP1293,27,Non-binary,HR,Consulting,16,Onsite,39,3,1
EMP1294,40,Male,Data Scientist,Consulting,1,Hybrid,47,9,3
EMP1295,25,Female,Designer,Healthcare,10,Remote,53,6,4
EMP1296,30,Male,Designer,IT,14,Hybrid,49,2,2
EMP1297,45,Male,Sales,Manufacturing,24,Onsite,47,9,2
EMP1298,48,Prefer not to say,Data Scientist,Retail,14,Hybrid,25,13,3
EMP1299,57,Female,Data Scientist,Consulting,19,Hybrid,55,7,2
EMP1300,32,Prefer not to say,Sales,Retail,2,Onsite,35,4,3
EMP1301,31,Male,Data Scientist,Consulting,27,Onsite,57,2,4
EMP1302,56,Non-binary,Project Manager,Retail,35,Hybrid,58,13,4
EMP1303,55,Non-binary,Sales,IT,35,Remote,44,12,1
EMP1304,56,Non-binary,Data Scientist,Finance,22,Hybrid,28,4,2
EMP1305,31,Non-binary,Designer,Healthcare,9,Hybrid,25,6,1
EMP1306,55,Female,Data Scientist,Retail,31,Onsite,58,15,3
EMP1307,48,Prefer not to say,Designer,Finance,34,Onsite,44,11,1
EMP1308,50,Male,Designer,IT,6,Onsite,25,1,3
EMP1309,28,Non-binary,Project Manager,Healthcare,2,Onsite,48,0,2
EMP1310,60,Male,Marketing,Education,8,Hybrid,34,4,4
EMP1311,47,Male,HR,Finance,17,Onsite,38,1,1
EMP1312,23,Prefer not to say,Designer,Healthcare,22,Remote,37,14,2
EMP1313,23,Male,Marketing,Finance,19,Remote,22,5,4
EMP1314,35,Prefer not to say,HR,Finance,12,Onsite,22,3,2
EMP1315,53,Non-binary,Marketing,Healthcare,8,Onsite,52,3,5
EMP1316,49,Female,Designer,Finance,7,Remote,28,3,3
EMP1317,43,Non-binary,Data Scientist,Manufacturing,28,Onsite,43,3,1
EMP1318,41,Male,Sales,Manufacturing,13,Onsite,41,8,3
EMP1319,59,Non-binary,Marketing,Finance,13,Onsite,48,3,3
EMP1320,52,Non-binary,Software Engineer,Education,19,Hybrid,30,9,2
EMP1321,53,Male,Data Scientist,Consulting,1,Onsite,29,1,1
EMP1322,42,Prefer not to say,Project Manager,Consulting,3,Remote,31,0,3
EMP1323,24,Prefer not to say,HR,Healthcare,6,Remote,43,4,5
EMP1324,37,Non-binary,Marketing,Manufacturing,15,Onsite,56,2,2
EMP1325,58,Non-binary,Data Scientist,IT,15,Onsite,58,9,2
EMP1326,33,Male,Marketing,Consulting,34,Remote,53,7,4
EMP1327,24,Prefer not to say,Marketing,Retail,22,Remote,36,3,5
EMP1328,46,Male,Marketing,Healthcare,17,Hybrid,40,9,2
EMP1329,27,Female,Software Engineer,Retail,23,Hybrid,60,8,1
EMP1330,35,Non-binary,Marketing,IT,21,Hybrid,44,2,5
EMP1331,24,Non-binary,Software Engineer,Education,7,Remote,33,15,4
EMP1332,60,Female,Data Scientist,Healthcare,21,Hybrid,50,7,5
EMP1333,59,Non-binary,Data Scientist,Manufacturing,7,Remote,38,10,5
EMP1334,23,Prefer not to say,Project Manager,Healthcare,13,Remote,51,14,3
EMP1335,55,Male,Designer,Finance,11,Remote,59,6,2
EMP1336,40,Female,Project Manager,Education,16,Onsite,54,0,4
EMP1337,39,Non-binary,Project Manager,Consulting,17,Remote,34,8,3
EMP1338,51,Male,Designer,Healthcare,31,Remote,37,3,2
EMP1339,40,Male,Designer,Finance,26,Remote,24,5,3
EMP1340,34,Female,Project Manager,Education,1,Remote,60,0,2
EMP1341,49,Non-binary,HR,Finance,17,Onsite,34,5,2
EMP1342,24,Non-binary,HR,IT,30,Onsite,25,0,3
EMP1343,48,Non-binary,Software Engineer,IT,4,Remote,41,13,3
EMP1344,40,Non-binary,Project Manager,IT,3,Remote,54,15,2
EMP1345,45,Prefer not to say,Designer,IT,10,Onsite,39,2,1
EMP1346,30,Female,Sales,Healthcare,16,Onsite,52,15,2
EMP1347,25,Prefer not to say,Software Engineer,IT,35,Remote,54,5,1
EMP1348,57,Non-binary,Project Manager,Healthcare,8,Onsite,22,15,5
EMP1349,53,Female,Marketing,Consulting,12,Hybrid,43,11,4
EMP1350,56,Male,HR,Retail,27,Hybrid,35,14,5
EMP1351,26,Prefer not to say,Software Engineer,Manufacturing,2,Onsite,26,0,1
EMP1352,58,Male,HR,Consulting,25,Onsite,32,13,4
EMP1353,57,Non-binary,Project Manager,IT,32,Remote,53,9,3
EMP1354,44,Prefer not to say,Data Scientist,Healthcare,23,Remote,32,15,3
EMP1355,32,Male,Data Scientist,Education,23,Hybrid,35,1,5
EMP1356,42,Non-binary,Software Engineer,Manufacturing,20,Hybrid,44,6,5
EMP1357,43,Non-binary,Software Engineer,Consulting,25,Onsite,24,5,3
EMP1358,58,Male,Sales,Manufacturing,33,Remote,47,14,5
EMP1359,27,Female,Project Manager,Retail,18,Hybrid,32,1,5
EMP1360,25,Female,HR,Finance,13,Remote,32,0,2
EMP1361,30,Prefer not to say,HR,Manufacturing,14,Remote,39,4,1
EMP1362,44,Female,Data Scientist,Healthcare,7,Remote,49,11,2
EMP1363,28,Non-binary,HR,Education,21,Remote,59,7,4
EMP1364,36,Male,HR,IT,6,Hybrid,23,13,5
EMP1365,35,Prefer not to say,HR,Retail,20,Remote,34,0,1
EMP1366,29,Prefer not to say,Marketing,IT,12,Hybrid,49,4,4
EMP1367,56,Male,Software Engineer,Finance,6,Remote,39,11,4
EMP1368,45,Male,Data Scientist,Healthcare,17,Remote,26,13,3
EMP1369,47,Male,Marketing,Consulting,7,Hybrid,50,7,1
EMP1370,41,Female,Sales,Finance,30,Hybrid,46,4,2
EMP1371,47,Prefer not to say,Data Scientist,Consulting,1,Onsite,46,6,5
EMP1372,32,Male,Data Scientist,IT,20,Hybrid,22,7,2
EMP1373,56,Non-binary,Project Manager,IT,33,Hybrid,56,13,5
EMP1374,60,Prefer not to say,Designer,Education,29,Remote,35,8,5
EMP1375,42,Non-binary,Software Engineer,Manufacturing,25,Onsite,54,15,3
EMP1376,36,Non-binary,Data Scientist,Retail,6,Hybrid,51,5,5
EMP1377,40,Non-binary,Sales,Finance,9,Remote,45,4,4
EMP1378,32,Male,Sales,Education,13,Remote,42,4,2
EMP1379,32,Female,Project Manager,Retail,20,Hybrid,55,9,3
EMP1380,49,Non-binary,Sales,Retail,32,Onsite,21,5,1
EMP1381,42,Non-binary,Designer,Healthcare,19,Onsite,41,15,5
EMP1382,39,Prefer not to say,Marketing,Healthcare,10,Onsite,49,13,5
EMP1383,29,Non-binary,Designer,Finance,14,Remote,47,7,2
EMP1384,52,Non-binary,HR,Healthcare,19,Onsite,29,8,2
EMP1385,25,Prefer not to say,HR,Manufacturing,6,Remote,20,5,3
EMP1386,58,Male,Sales,Consulting,20,Remote,20,5,5
EMP1387,59,Prefer not to say,HR,IT,23,Remote,25,15,3
EMP1388,60,Male,Data Scientist,Education,28,Onsite,23,10,5
EMP1389,24,Male,HR,IT,9,Hybrid,43,9,5
EMP1390,49,Prefer not to say,Designer,Retail,21,Remote,39,0,1
EMP1391,25,Female,Sales,Healthcare,2,Onsite,45,11,3
EMP1392,56,Female,Sales,Education,1,Remote,20,15,1
EMP1393,34,Prefer not to say,Project Manager,Education,11,Onsite,58,10,3
EMP1394,43,Prefer not to say,HR,Finance,26,Onsite,45,0,5
EMP1395,56,Non-binary,Marketing,Manufacturing,30,Onsite,32,5,4
EMP1396,46,Male,Data Scientist,Finance,7,Hybrid,45,15,4
EMP1397,35,Non-binary,Software Engineer,Education,23,Hybrid,35,11,1
EMP1398,56,Male,Sales,IT,17,Remote,22,15,5
EMP1399,27,Male,Data Scientist,IT,11,Hybrid,21,12,2
EMP1400,58,Prefer not to say,HR,IT,24,Onsite,23,1,1
EMP1401,26,Female,Designer,Healthcare,10,Remote,39,0,5
EMP1402,31,Non-binary,Marketing,Consulting,11,Onsite,43,3,3
EMP1403,53,Female,Software Engineer,Consulting,32,Hybrid,32,13,4
EMP1404,41,Prefer not to say,Data Scientist,Finance,4,Onsite,27,8,1
EMP1405,24,Prefer not to say,Marketing,Healthcare,13,Hybrid,45,3,4
EMP1406,46,Prefer not to say,Designer,Healthcare,19,Hybrid,26,12,3
EMP1407,45,Female,Sales,Finance,29,Remote,28,1,3
EMP1408,23,Non-binary,HR,Finance,1,Hybrid,43,13,5
EMP1409,55,Non-binary,Marketing,Manufacturing,8,Remote,28,12,2
EMP1410,38,Male,HR,IT,10,Hybrid,37,0,3
EMP1411,34,Non-binary,Designer,IT,29,Remote,21,13,3
EMP1412,24,Female,Sales,Education,29,Remote,38,1,5
EMP1413,46,Non-binary,Software Engineer,Finance,16,Onsite,28,5,3
EMP1414,36,Prefer not to say,Data Scientist,Healthcare,33,Remote,33,0,2
EMP1415,30,Male,Marketing,IT,31,Onsite,25,4,4
EMP1416,34,Male,Marketing,Manufacturing,23,Onsite,44,9,1
EMP1417,40,Female,Marketing,Education,6,Remote,49,15,5
EMP1418,37,Male,Software Engineer,Consulting,1,Remote,60,0,5
EMP1419,37,Non-binary,Software Engineer,IT,1,Onsite,28,3,2
EMP1420,33,Non-binary,Data Scientist,IT,19,Remote,41,5,3
EMP1421,53,Prefer not to say,Software Engineer,IT,7,Onsite,51,13,1
EMP1422,23,Female,Data Scientist,Manufacturing,5,Remote,52,9,5
EMP1423,22,Female,Marketing,Healthcare,24,Remote,31,10,4
EMP1424,45,Non-binary,Project Manager,Manufacturing,6,Remote,51,3,4
EMP1425,25,Female,HR,Finance,23,Onsite,36,9,4
EMP1426,44,Male,Project Manager,Finance,14,Onsite,59,10,3
EMP1427,36,Female,Sales,Consulting,31,Remote,43,7,3
EMP1428,37,Female,Designer,Consulting,1,Hybrid,54,13,3
EMP1429,45,Male,Project Manager,Healthcare,30,Hybrid,43,7,2
EMP1430,48,Female,Software Engineer,Retail,7,Remote,22,2,5
EMP1431,42,Non-binary,Marketing,Finance,7,Remote,34,8,4
EMP1432,24,Non-binary,Sales,Manufacturing,33,Remote,23,5,3
EMP1433,58,Non-binary,Project Manager,Healthcare,29,Remote,27,3,4
EMP1434,50,Female,Project Manager,Finance,35,Remote,45,1,1
EMP1435,46,Prefer not to say,Marketing,Retail,12,Remote,42,7,2
EMP1436,56,Non-binary,Marketing,Retail,25,Onsite,40,7,4
EMP1437,27,Male,Project Manager,Education,20,Onsite,46,6,4
EMP1438,38,Female,Marketing,Retail,1,Hybrid,37,6,2
EMP1439,56,Non-binary,Marketing,Consulting,2,Onsite,36,9,4
EMP1440,57,Female,Designer,IT,31,Hybrid,35,6,2
EMP1441,22,Prefer not to say,Data Scientist,Retail,34,Hybrid,24,4,3
